"","pays","iso3c","annee","depenses_sante","esperance_vie","pib_hab","part_urbaine","pm25","population","ratio_dependance_agee"
"1","Australia","AUS",2000,2918.623,79.6207,45979.08,85.10716,5.3,19132472,18.42947
"2","Australia","AUS",2001,3040.318,80.006,46314.625,85.14811,5.6,19365438,18.565638
"3","Australia","AUS",2002,3181.737,80.0515,47599.406,85.28421,6.1,19595356,18.700743
"4","Australia","AUS",2003,3333.785,80.4396,48509.664,85.409706,6.8,19819449,18.827768
"5","Australia","AUS",2004,3549.301,80.7334,50018.59,85.51877,5.2,20046679,18.971186
"6","Australia","AUS",2005,3613.865,81.0923,50972.64,85.61909,5,20294490,19.117792
"7","Australia","AUS",2006,3750.505,81.2581,51682.89,85.74925,6.1,20590566,19.2576
"8","Australia","AUS",2007,3896.638,81.2324,52671.324,85.89685,5.2,20954545,19.38323
"9","Australia","AUS",2008,4051.114,81.4267,53497.273,86.02538,4.8,21370595,19.50361
"10","Australia","AUS",2009,4136.754,81.7283,53430.527,86.127815,6.2,21783014,19.710033
"11","Australia","AUS",2010,4268.681,82.0132,53768.35,86.21986,4.8,22141583,20.055986
"12","Australia","AUS",2011,4407.115,82.0911,54296.23,86.3269,5,22479779,20.510773
"13","Australia","AUS",2012,4404.788,82.2966,55465.445,86.44513,5.2,22852648,21.01938
"14","Australia","AUS",2013,4451.152,82.5511,55966.152,86.57405,5.7,23236271,21.519485
"15","Australia","AUS",2014,4941.936,82.5182,56571.805,86.72213,6,23595599,22.00324
"16","Australia","AUS",2015,5072.794,82.605,56970.36,86.87786,5.8,23947997,22.486492
"17","Australia","AUS",2016,5228.105,82.8014,57633,87.01663,5.7,24329963,22.947237
"18","Australia","AUS",2017,5331.259,82.7184,57991.77,87.12809,5.8,24731044,23.373186
"19","Australia","AUS",2018,5442.379,83.2582,58772.707,87.22677,5.9,25119700,23.82064
"20","Australia","AUS",2019,5458.392,83.2412,59181.3,87.30196,9,25482714,24.358576
"21","Australia","AUS",2020,5855.181,83.6639,58377.766,87.27135,6.7,25743787,25.069977
"22","Australia","AUS",2021,6229.427,83.564,59465.535,87.235344,5.3,25956417,25.805445
"23","Australia","AUS",2022,6025.396,82.7662,61200.457,87.33433,5.1,26200987,26.362658
"24","Australia","AUS",2023,6075.151,83.9228,61869.082,87.486694,5.5,26451126,26.883106
"25","Austria","AUT",2000,4718.938,78.235,38571.086,66.76903,16.1,8012929,22.86024
"26","Austria","AUT",2001,4776.365,78.7184,38929.754,66.84081,16.4,8042233,22.82534
"27","Austria","AUT",2002,4895.074,78.8464,39313.723,66.88875,18.3,8081640,22.752909
"28","Austria","AUT",2003,4967.35,78.8491,39569.29,66.92636,18.1,8122604,22.713715
"29","Austria","AUT",2004,5123.73,79.3624,40333.332,66.955864,16.3,8173496,23.113382
"30","Austria","AUT",2005,5168.261,79.5202,40989.01,66.9798,18.8,8229204,23.909576
"31","Austria","AUT",2006,5267.292,79.9648,42120.156,67.000694,19.6,8269901,24.677717
"32","Austria","AUT",2007,5419.719,80.1664,43568.832,67.0211,14.6,8296948,25.223736
"33","Austria","AUT",2008,5598.187,80.3633,44063.863,67.04356,14.7,8323250,25.597082
"34","Austria","AUT",2009,5704.378,80.2064,42372.477,67.07059,15.6,8345073,25.974312
"35","Austria","AUT",2010,5745.795,80.4634,43035.406,67.104744,16.3,8365087,26.135977
"36","Austria","AUT",2011,5730.372,80.8281,44146.195,67.14842,16.8,8393272,26.210209
"37","Austria","AUT",2012,5816.577,80.8407,44221.46,67.20859,14.6,8431599,26.547684
"38","Austria","AUT",2013,5813.279,81.078,43851.367,67.298134,15.7,8481411,26.969772
"39","Austria","AUT",2014,5877.155,81.39,43838.836,67.415436,13.8,8547812,27.295645
"40","Austria","AUT",2015,5925.348,81.1592,43915.227,67.55762,13.7,8644037,27.436342
"41","Austria","AUT",2016,6002.761,81.5922,44362.67,67.72181,13,8737920,27.537218
"42","Austria","AUT",2017,6074.392,81.6387,45056.637,67.90512,13,8798779,27.769827
"43","Austria","AUT",2018,6137.151,81.6859,45951.582,68.104675,14.1,8841653,28.06836
"44","Austria","AUT",2019,6258.114,81.9072,46550.562,68.317604,11.3,8880876,28.405727
"45","Austria","AUT",2020,6295.183,81.8037,43428.7,68.541016,10.2,8921402,28.831335
"46","Austria","AUT",2021,7023.391,81.8204,45368.645,68.773605,10.6,8967053,29.379332
"47","Austria","AUT",2022,6609.948,81.2959,47332.426,68.998085,10.3,9064678,30.010344
"48","Austria","AUT",2023,6457.345,81.9559,46497.91,69.22654,9.5,9130434,30.73231
"49","Belgium","BEL",2000,3897.966,77.7684,35878.316,82.01525,14.9,10251719,25.608976
"50","Belgium","BEL",2001,3987.216,78.0824,36148.29,82.335686,14.2,10287005,25.765669
"51","Belgium","BEL",2002,4125.189,78.1678,36600.863,82.65096,14.5,10332975,25.883877
"52","Belgium","BEL",2003,4571.947,78.3203,36826.27,82.96095,17,10376262,26.014877
"53","Belgium","BEL",2004,4776.962,78.9605,37976.7,83.265526,14.8,10421298,26.170734
"54","Belgium","BEL",2005,4767.386,79.0532,38645.26,83.564545,14.1,10478883,26.215378
"55","Belgium","BEL",2006,4779.212,79.3894,39371.086,83.85789,16,10548445,26.057182
"56","Belgium","BEL",2007,4888.335,79.5284,40520.086,84.14543,17.2,10625488,25.866674
"57","Belgium","BEL",2008,5034.193,79.5793,40380.906,84.42704,16.3,10709711,25.825718
"58","Belgium","BEL",2009,5402.012,79.8489,39293.637,84.70258,17,10812936,25.88472
"59","Belgium","BEL",2010,5414.847,80.04,39991.566,84.97193,16.5,10936619,25.937328
"60","Belgium","BEL",2011,5404.704,80.3664,40236.96,85.23496,16.3,11038624,26.207418
"61","Belgium","BEL",2012,5467.478,80.2604,40074.492,85.49154,14.7,11107522,26.667126
"62","Belgium","BEL",2013,5498.202,80.4668,40007.9,85.74154,15.5,11160277,27.11712
"63","Belgium","BEL",2014,5572.278,81.0802,40533.914,85.98483,12.9,11210113,27.592287
"64","Belgium","BEL",2015,5785.818,80.8889,40893.805,86.22129,12.4,11275332,27.986889
"65","Belgium","BEL",2016,5848.802,81.2647,41172.887,86.45078,12.1,11332707,28.366632
"66","Belgium","BEL",2017,5931.681,81.3624,41619.33,86.67317,11.7,11376583,28.818588
"67","Belgium","BEL",2018,6016.334,81.4805,42208.363,86.88834,12.1,11428608,29.25665
"68","Belgium","BEL",2019,6076.389,81.8353,43006.402,87.09616,10.4,11490623,29.676115
"69","Belgium","BEL",2020,6091.262,80.7977,40769.023,87.2965,8.9,11540102,30.023865
"70","Belgium","BEL",2021,6344.266,81.6591,43140.97,87.43056,10.3,11570843,30.42766
"71","Belgium","BEL",2022,6116.651,81.1589,44516.004,87.4892,9.9,11641814,30.9952
"72","Belgium","BEL",2023,6150.812,82.115,44828.227,87.55149,8.8,11712891,31.654556
"73","Canada","CAN",2000,3402.299,79.233,37906.9,78.6293,8.4,30891800,18.350492
"74","Canada","CAN",2001,3566.285,79.4494,38200.496,78.84148,8.5,31213578,18.41946
"75","Canada","CAN",2002,3692.159,79.5658,38921.707,79.09902,8.6,31535579,18.486765
"76","Canada","CAN",2003,3837.345,79.7363,39270.062,79.39138,8.9,31836483,18.578287
"77","Canada","CAN",2004,4006.356,80.029,40108.8,79.69231,8.3,32132680,18.688955
"78","Canada","CAN",2005,4122.513,80.131,41006.266,79.97606,9.1,32440172,18.82275
"79","Canada","CAN",2006,4365.397,80.5398,41663.555,80.21906,8.2,32759174,19.020521
"80","Canada","CAN",2007,4521.434,80.5422,42106.914,80.44256,8,33092171,19.283382
"81","Canada","CAN",2008,4680.831,80.7304,42067.61,80.662895,7.8,33449088,19.590803
"82","Canada","CAN",2009,4853.482,81.0648,40376.457,80.859184,7.3,33826370,19.934359
"83","Canada","CAN",2010,5013.653,81.3363,41164.383,81.01209,6.6,34196900,20.328604
"84","Canada","CAN",2011,5018.006,81.5133,42043.684,81.10314,6.9,34555449,20.842978
"85","Canada","CAN",2012,5094.458,81.7037,42320.688,81.15135,6.9,34922513,21.498909
"86","Canada","CAN",2013,5104.397,81.7852,42851.215,81.18344,7.1,35293421,22.203104
"87","Canada","CAN",2014,5118.519,81.8373,43643.28,81.21118,7.3,35634265,22.898956
"88","Canada","CAN",2015,5250.074,81.9084,43594.24,81.24657,7.3,35962236,23.596266
"89","Canada","CAN",2016,5379.723,82.0301,43551.387,81.3023,6.1,36353345,24.283844
"90","Canada","CAN",2017,5493.645,81.9195,44339.434,81.40189,6.9,36808498,24.950378
"91","Canada","CAN",2018,5555.804,81.9247,44907.39,81.55003,7.2,37294996,25.611784
"92","Canada","CAN",2019,5627.916,82.2848,45100.336,81.73637,6.3,37782934,26.33071
"93","Canada","CAN",2020,6195.885,81.6536,42366.17,81.95099,6.1,38171903,27.151901
"94","Canada","CAN",2021,6524.261,81.976,44639.24,82.177925,7.3,38454058,28.054106
"95","Canada","CAN",2022,6119.237,81.2493,45883.008,82.35009,6.3,38821259,28.863476
"96","Canada","CAN",2023,6145.641,82.6302,45495.51,82.525055,9.7,39299098,29.576546
"97","Chile","CHL",2000,1045.985,77.1276,8465.354,86.27109,21.7,15503638,12.57656
"98","Chile","CHL",2001,1074.699,77.5798,8632.015,86.49063,21.2,15683852,12.808261
"99","Chile","CHL",2002,1114.511,77.8397,8810.69,86.61141,20.9,15857926,13.0300665
"100","Chile","CHL",2003,1174.018,77.8841,9130.784,86.6793,21.2,16024755,13.231053
"101","Chile","CHL",2004,1246.553,78.2765,9642.375,86.73367,21.5,16187324,13.418286
"102","Chile","CHL",2005,1284.287,78.4589,10104.421,86.776825,21,16348780,13.600696
"103","Chile","CHL",2006,1338.225,78.5328,10611.614,86.812515,21.2,16509195,13.775527
"104","Chile","CHL",2007,1430.583,78.6519,11051.345,86.844505,21.8,16671571,13.954079
"105","Chile","CHL",2008,1460.335,78.7518,11356.092,86.87658,22.6,16838987,14.1463375
"106","Chile","CHL",2009,1569.482,78.8901,11116.409,86.91249,21.4,17009730,14.360988
"107","Chile","CHL",2010,1615.202,79.0954,11649.29,86.95602,21.4,17181463,14.595776
"108","Chile","CHL",2011,1688.033,79.2357,12252.844,87.01092,23.4,17351810,14.853619
"109","Chile","CHL",2012,1793.612,79.2211,12882.834,87.0825,22,17519116,15.14939
"110","Chile","CHL",2013,1936.624,79.5509,13182.733,87.18278,21.9,17687006,15.499975
"111","Chile","CHL",2014,2041.482,79.7137,13285.954,87.31337,22.4,17864192,15.898108
"112","Chile","CHL",2015,2181.035,80.0079,13433.92,87.46533,25.4,18047630,16.333118
"113","Chile","CHL",2016,2269.366,80.2949,13505.098,87.63063,23.9,18267225,16.763685
"114","Chile","CHL",2017,2462.771,80.6096,13473.346,87.800026,22.3,18558868,17.137245
"115","Chile","CHL",2018,2526.753,80.5594,13763.007,87.96205,21.4,18893185,17.478594
"116","Chile","CHL",2019,2543.071,80.3243,13631.929,88.127365,20.3,19197748,17.844751
"117","Chile","CHL",2020,2489.426,79.3488,12680.776,88.29535,19.5,19370621,18.28098
"118","Chile","CHL",2021,2865.452,78.8764,14056.252,88.46605,22.8,19456323,18.760324
"119","Chile","CHL",2022,2943.784,79.1762,14275.409,88.639534,23.6,19553033,19.257635
"120","Chile","CHL",2023,3003.406,81.1667,14294.711,88.815865,24.4,19658833,19.830227
"121","Colombia","COL",2000,592.037,70.905,4016.8096,74.34936,13.8,39089939,7.224203
"122","Colombia","COL",2001,615.399,71.1853,4020.5078,74.79384,14.9,39709263,7.3067026
"123","Colombia","COL",2002,592.165,71.5366,4058.285,75.192444,13.8,40324684,7.392157
"124","Colombia","COL",2003,618.508,72.3086,4154.1753,75.53418,15.4,40937426,7.4872613
"125","Colombia","COL",2004,660.031,72.7605,4311.916,75.80806,13.6,41543177,7.5951457
"126","Colombia","COL",2005,725.04,73.1557,4457.2754,76.00494,13.7,42128978,7.716467
"127","Colombia","COL",2006,800.012,73.4974,4694.0347,76.16192,13.2,42691081,7.8685093
"128","Colombia","COL",2007,865.586,73.7509,4947.2524,76.31441,14.4,43235374,8.054918
"129","Colombia","COL",2008,958.755,74.2057,5048.572,76.45968,13.7,43758805,8.271696
"130","Colombia","COL",2009,1021.747,74.5306,5046.971,76.59641,15.2,44271543,8.508047
"131","Colombia","COL",2010,1035.236,74.8757,5214.2456,76.7233,16.2,44777325,8.754584
"132","Colombia","COL",2011,1061.593,75.1803,5517.101,76.839005,13.5,45259614,9.026164
"133","Colombia","COL",2012,1086.518,75.6106,5675.7563,76.942215,15.2,45715807,9.327792
"134","Colombia","COL",2013,1171.611,75.8343,5910.806,77.0316,15.5,46151583,9.648875
"135","Colombia","COL",2014,1230.813,75.9497,6121.84,77.10584,16.4,46565426,10.005731
"136","Colombia","COL",2015,1270.997,76.0665,6248.515,77.16363,15.7,46969938,10.388644
"137","Colombia","COL",2016,1268.882,76.2285,6316.071,77.20363,17.5,47437513,10.750945
"138","Colombia","COL",2017,1312.671,76.4178,6309.6772,77.22452,16,48131076,11.079108
"139","Colombia","COL",2018,1345.978,76.5791,6353.5464,77.28048,15.3,49024463,11.397068
"140","Colombia","COL",2019,1376.834,76.7927,6439.9634,77.45956,16.2,49907987,11.747709
"141","Colombia","COL",2020,1379.007,74.7565,5891.955,77.63825,15.4,50629997,12.10842
"142","Colombia","COL",2021,1597.951,72.6983,6457.1694,77.833954,13.8,51188174,12.444566
"143","Colombia","COL",2022,1439.788,76.5081,6856.726,78.04646,14.5,51737944,12.853918
"144","Colombia","COL",2023,1536.194,77.7246,6837.374,78.27557,14,52321152,13.383401
"145","Czechia","CZE",2000,1736.426,74.9781,12543.937,74.00382,20.3,10236809,19.718605
"146","Czechia","CZE",2001,1869.463,75.3141,12958.467,73.91318,20.9,10231942,19.678167
"147","Czechia","CZE",2002,2027.375,75.4424,13179.988,73.836006,23,10239474,19.620287
"148","Czechia","CZE",2003,2230.002,75.3959,13618.935,73.764915,22.5,10248907,19.567032
"149","Czechia","CZE",2004,2280.551,75.9416,14259.634,73.699165,20.8,10261453,19.584425
"150","Czechia","CZE",2005,2390.374,76.1561,15147.722,73.63756,23.2,10280155,19.731047
"151","Czechia","CZE",2006,2432.809,76.708,16107.305,73.57888,23.8,10304592,19.98531
"152","Czechia","CZE",2007,2491.195,76.9189,16892.543,73.52195,17.5,10337539,20.324179
"153","Czechia","CZE",2008,2625.019,77.1722,17190.646,73.46555,17.7,10378298,20.81182
"154","Czechia","CZE",2009,2881.371,77.2578,16272.809,73.408485,19.2,10420985,21.426569
"155","Czechia","CZE",2010,2963.847,77.5677,16665.932,73.34956,21.6,10464035,22.034714
"156","Czechia","CZE",2011,2952.508,77.8144,16926.285,73.287834,20.5,10495508,22.866373
"157","Czechia","CZE",2012,2940.737,77.9977,16772.354,73.22492,18.7,10507339,23.996105
"158","Czechia","CZE",2013,2924.82,78.169,16759.781,73.16222,19.3,10511164,25.116043
"159","Czechia","CZE",2014,3069.439,78.7439,17118.043,73.099594,18.9,10517223,26.152357
"160","Czechia","CZE",2015,3120.284,78.5609,17931.6,73.03704,17,10524418,27.152554
"161","Czechia","CZE",2016,3219.221,78.9744,18359.098,72.97458,16.9,10531946,28.184168
"162","Czechia","CZE",2017,3293.657,78.926,19257.693,72.912186,16.5,10541343,29.221136
"163","Czechia","CZE",2018,3416.183,78.9612,19736.629,72.84988,17.8,10548934,30.185564
"164","Czechia","CZE",2019,3590.648,79.1853,20360.06,72.78764,14,10554872,31.09471
"165","Czechia","CZE",2020,4098.209,78.237,19233.146,72.72549,12.6,10550129,31.848549
"166","Czechia","CZE",2021,4416.112,77.2342,20373.879,72.68106,13.6,10530683,32.385895
"167","Czechia","CZE",2022,4012.926,79.1648,20627.35,72.69676,12.9,10673216,32.282867
"168","Czechia","CZE",2023,3929.417,79.8341,20272.588,72.73524,11.4,10809722,32.199486
"169","Denmark","DNK",2000,3892.751,76.8152,49266.99,85.1,13.2,5339659,22.206444
"170","Denmark","DNK",2001,4073.651,76.9736,49557.152,85.18831,11.7,5358825,22.232555
"171","Denmark","DNK",2002,4207.349,77.0989,49624.598,85.3,12.6,5375967,22.293934
"172","Denmark","DNK",2003,4307.302,77.4012,49708.09,85.42,13.6,5390621,22.412094
"173","Denmark","DNK",2004,4484.892,77.7853,50956.305,85.71303,10.4,5404594,22.582855
"174","Denmark","DNK",2005,4668.188,78.2259,52015.184,86.005974,10.8,5419550,22.799578
"175","Denmark","DNK",2006,4872.285,78.2234,53823.16,86.25013,11.7,5437425,23.053644
"176","Denmark","DNK",2007,4999.732,78.3494,54113.977,86.42515,10.9,5461604,23.391354
"177","Denmark","DNK",2008,5100.178,78.7144,53572.535,86.58314,10.6,5493762,23.856392
"178","Denmark","DNK",2009,5334.676,78.9574,50635.91,86.761765,11.8,5523169,24.481573
"179","Denmark","DNK",2010,5435.29,79.2473,51209.45,86.86524,11.5,5547865,25.272459
"180","Denmark","DNK",2011,5343.147,79.786,51667.53,87.15677,13.4,5570848,26.188505
"181","Denmark","DNK",2012,5411.535,80.0822,51470.69,87.23362,9.8,5591911,27.123343
"182","Denmark","DNK",2013,5356.839,80.3063,51970.39,87.543655,9.6,5615333,27.910048
"183","Denmark","DNK",2014,5445.714,80.6319,52368.363,87.682396,11.2,5643795,28.53268
"184","Denmark","DNK",2015,5587.997,80.7394,53094.01,87.7254,9.5,5683698,29.02233
"185","Denmark","DNK",2016,5669.119,80.8814,54300.203,87.7,8.8,5728196,29.437515
"186","Denmark","DNK",2017,5724.452,81.1116,55601.016,88.0162,8.6,5765164,29.872358
"187","Denmark","DNK",2018,5808.855,80.9909,56355.074,88.10598,10.7,5793824,30.341145
"188","Denmark","DNK",2019,5923.613,81.4343,57114.62,88.20965,9.3,5814618,30.84161
