pays,iso3c,depenses_sante_2000,depenses_sante_2001,depenses_sante_2002,depenses_sante_2003,depenses_sante_2004,depenses_sante_2005,depenses_sante_2006,depenses_sante_2007,depenses_sante_2008,depenses_sante_2009,depenses_sante_2010,depenses_sante_2011,depenses_sante_2012,depenses_sante_2013,depenses_sante_2014,depenses_sante_2015,depenses_sante_2016,depenses_sante_2017,depenses_sante_2018,depenses_sante_2019,depenses_sante_2020
Australia,AUS,2918.623,3040.318,3181.737,3333.785,3549.301,3613.865,3750.505,3896.638,4051.114,4136.754,4268.681,4407.115,4404.788,4451.152,4941.936,5072.794,5228.105,5331.259,5442.379,5458.392,5855.181
Austria,AUT,4718.938,4776.365,4895.074,4967.35,5123.73,5168.261,5267.292,5419.719,5598.187,5704.378,5745.795,5730.372,5816.577,5813.279,5877.155,5925.348,6002.761,6074.392,6137.151,6258.114,6295.183
Belgium,BEL,3897.966,3987.216,4125.189,4571.947,4776.962,4767.386,4779.212,4888.335,5034.193,5402.012,5414.847,5404.704,5467.478,5498.202,5572.278,5785.818,5848.802,5931.681,6016.334,6076.389,6091.262
Canada,CAN,3402.299,3566.285,3692.159,3837.345,4006.356,4122.513,4365.397,4521.434,4680.831,4853.482,5013.653,5018.006,5094.458,5104.397,5118.519,5250.074,5379.723,5493.645,5555.804,5627.916,6195.885
Chile,CHL,1045.985,1074.699,1114.511,1174.018,1246.553,1284.287,1338.225,1430.583,1460.335,1701.046,1615.202,1688.033,1793.612,1936.624,2041.482,2181.035,2269.366,2462.771,2526.753,2543.071,2489.426
Colombia,COL,592.037,615.399,592.165,618.508,660.031,725.04,800.012,865.586,958.755,1021.747,1035.236,1061.593,1086.518,1171.611,1230.813,1270.997,1268.882,1312.671,1345.978,1376.834,1379.007
Czechia,CZE,1736.426,1869.463,2027.375,2230.002,2280.551,2390.374,2432.809,2491.195,2625.019,2881.371,2963.847,2952.508,2940.737,2924.82,3069.439,3120.284,3219.221,3293.657,3416.183,3590.648,4098.209
Denmark,DNK,3892.751,4073.651,4207.349,4307.302,4484.892,4668.188,4872.285,4999.732,5100.178,5334.676,5435.29,5343.147,5411.535,5356.839,5445.714,5587.997,5669.119,5724.452,5808.855,5923.613,6146.851
Estonia,EST,893.503,880.525,940.773,1131.869,1268.612,1404.976,1497.821,1745.028,1871.135,1850.933,1810.235,1804.813,1875.419,1978.481,2097.762,2232.218,2325.043,2392.241,2517.863,2645.22,2921.922
Finland,FIN,3230.932,3381.652,3562.815,3720.881,3901.029,4088.473,4193.581,4306.824,4423.108,4421.828,4475.389,4571.221,4651.581,4700.07,4663.214,4653.823,4652.864,4664.664,4697.715,4830.318,4966.75
France,FRA,4252.468,4363.613,4546.811,4578.138,4692.006,4758.546,4926.712,5015.674,5077.483,5329.271,5280.09,5324.443,5371.584,5464.74,5542.29,5601.869,5690.706,5725.443,5703.986,5755.07,5770.47
Germany,DEU,4806.233,4858.775,4964.458,5023.827,4971.318,5057.386,5148.366,5247.152,5374.547,5662.417,5782.66,5794.192,5846.723,5941.813,6093.697,6296.315,6452.71,6627.465,6763.583,6986.616,7362.902
Greece,GRC,2195.841,2517.15,2716.959,2941.109,2948.314,3112.643,3173.375,3323.421,3473.103,3564.41,3349.692,2858.481,2569.545,2393.271,2271.435,2407.452,2482.65,2419.627,2454.056,2529.837,2682.375
Hungary,HUN,1438.415,1533.528,1689.6,1998.729,2006.376,2136.005,2179.669,2005.993,1983.257,1906.759,1977.191,2016.075,1950.471,1979.608,2047.907,2104.489,2198.629,2222.145,2308.075,2320.07,2615.41
Iceland,ISL,4035.487,4080.155,4328.49,4471.419,4541.607,4615.023,4626.931,4734.168,4686.519,4393.944,4190.786,4181.957,4110.287,4169.479,4235.768,4406.963,4575.129,4727.693,4816.499,4897.308,5010.877
Ireland,IRL,2410.422,2761.42,2993.323,3175.996,3361.118,3721.145,3758.61,3918.955,4177.278,4550.639,4560.176,4625.199,4638.322,4511.761,4492.459,4593.993,4738.539,4860.895,4992.323,5111.882,5585.105
